start	end	text
0	17080	FFM Radio präsentiert die Compilation of Fabula Nobuo Cristales.
30000	42320	Die drei Prüfungen.
42320	51760	So ein Mist! Wie konnte ich nur meine Sonnenbrille vergessen? Jetzt kann ich hier wieder nix sehen.
51760	59600	Alles viel zu hell. Sag doch mal was. Ich gemiese die Sonne. Wie kannst du die Sonne? Ja, du hast ja
59600	63920	auch eine Sonnenbrille dabei. Da kannst du auch die Sonne genießen. Ja, da hast du eben Pech gehabt.
63920	70040	Aber es war eine gute Idee, Sid, hier nach Costa del Sol zu fahren. Ah, es brutzelt. Ich
70040	75640	führe schon, wie meine Haut ganz knusprig und wupperig wird. Ah, du hast dich nicht eingecremt.
75640	83240	Verstehe. Wenn man schön sein will, muss man eben leiden. Sid, leiden! Ja, das verspüre ich auf
83240	89120	jeder Reise mit dir. Ja, dann reicht mir eben mal die Sonnencreme. Aber das ist eklig,
89120	93720	das ist meine Sonnencreme. Die benutze ich. Das ist jetzt total eklig, wenn du die auch noch benutzt.
93720	97600	So, dann benutzen wir schon die gleiche Zahnbürste. Da können wir auch den gleichen Sonnencreme benutzen.
97600	100960	Was? Das ist meine Zahnbürste. Willst du mir jetzt erzählen, dass du...
100960	106040	Ja, morgens weiß ich noch nicht, welche Zahnbürste mir gehört.
106040	112080	Manchmal frage ich mich, warum ich mir das überhaupt antue. Aber wenn ich diese kühle
112080	122160	Meeresbrise einatme, den leichten Salzgeruch und die warme Sonne auf meiner zum Glück eingecremten
122160	134040	Haut spüre, dann lässt es mich das alles doch fast wieder vergessen. Es riecht schön salzig und feurig und dampfig.
134040	137760	Ja, ich hab ein bisschen... Das Salz macht mich ein bisschen...
137760	144880	Warte mal, riechst du das? Das ist doch... Das ist doch Eis. Das ist das weltbekannte Bombe-Eis.
144880	149080	Das Bombe-Eis gibt es doch hier am Bombe-Man 6. Das Bombe-Eis MC-Sit.
149080	153520	Ja, das gibt es zwar nicht nur hier, sondern fast überall, aber hier schmeckt es natürlich besonders gut.
153520	155640	Die sind ja hier am Bombe-Man 6 und da gibt es das Bombe-Eis.
155640	158040	Ja, original. Natürlich, ja klar.
158040	159800	Davon hole ich mir eins. Sofort.
159800	161440	Bring mir eins mit, auf jeden Fall.
161480	163480	Steh verdammt nochmal auf. Komm mit mir.
163480	166000	Das wäre aber total nett von dir.
166000	168000	Ja, nett. Ich bin nicht nett. Jetzt komm, steh auf.
168000	175520	...Bombe vom Bombe-Man, Eis, Eis, Bombe, Bom, Bom, Bom. Wir haben alle Sorten, wir haben sie alle.
175520	180400	Bom, Bom, Bom, Bom. Es brennt, es flammt, es raucht, es qualmt.
180400	187040	Bom, Bom, Bom, Bom, Bom. Es ist dreckig und rußig, es ist rauchig und schmutzig, das Bombe-Eis.
187040	188720	Bom, Bom, Bom, Bom.
188720	195840	Ein Bombe-Eis. Dampfig, bitte. Und ein bisschen würzig. Mit Bomberraspeln.
195840	197840	Bom, Bom, bitteschön.
197840	199840	Das Bombe-Eis.
199840	203520	Was nehme ich denn? Ich kann mich so schlecht entscheiden.
203520	206000	Oh, das ist ganz schön scharf.
206000	208320	Was schmeckt denn am besten?
210320	212320	Oh, es brennt aus.
214880	217680	Dann bitte das mit den Gletschersplittern für mich.
217680	219680	Oh, das ist aber lecker.
219680	221680	Bom, Bom, bitteschön.
221680	223680	Oh, war das lecker.
223680	227680	Das ist kalt. Mein Gehirn friert ein.
227680	229680	Wir tauschen mal.
231680	235680	Jetzt habe ich mir die Zunge aufgeschlitzt an so einem Scheiß-Splitter.
235680	237680	Oh, das ist kalt.
239680	241680	Ich schmecke gar nichts mehr.
241680	245680	Coco, Coco, Coco. Eine große Angekündigung. Coco, Coco.
245680	247680	In der Innenstadt. Eine große Angekündigung.
247680	249680	Eine große Angekündigung.
249680	253680	Heiliger, der große Produzent Heiliger, hat einen Wettbewerb mit in der Stadt angekündigt.
253680	255680	Es ist ein Wettbewerb. Man kann das gewinnen. Was ganz Tolles.
255680	257680	Ein Zirkusfeld.
257680	259680	Coco!
259680	261680	Hast du das gehört?
261680	263680	Ich habe eigentlich nur einen lauten, kreischenden Mob gehört.
263680	269680	Er hat gesagt, bei einem Wettbewerb in der Stadt, man kann einen Zirkus gewinnen.
269680	271680	Was wollen wir mit einem Zirkus?
271680	273680	Einen Zirkus. MC Sid, du weißt ganz genau.
273680	277680	Mein Wunsch, mein lebenslanger Wunsch war es, einen Zirkus zu gründen.
277680	279680	Natürlich zum ersten Mal.
279680	283680	Mitten im Trapez stehe ich da. Das Publikum applaudiert.
283680	287680	Jeder liebt mich. Jeder liebt mich MC Sid. Jeder liebt mich.
287680	289680	Ich bin ein bisschen beeindruckt, dass du weißt, was ein Trapez ist.
289680	291680	Was?
291680	293680	Ich bin ein bisschen beeindruckt, dass du weißt, was ein Trapez ist.
293680	295680	Was ist das?
295680	297680	Egal. Wir machen das. Das ist cool.
297680	299680	Ein Wettbewerb bei Heidegger.
299680	301680	Ich wollte eh Heidegger schon immer mal wiedersehen.
301680	303680	Das ist doch immer das gleiche. Du sagst wir.
303680	305680	Und dann schleppst du mich mit.
305680	307680	Und ich will eigentlich gar nicht.
307680	309680	Aber am Ende mache ich dann immer trotzdem mit.
309680	311680	Komm, warum überspringen wir das nicht einfach?
311680	313680	Und ich helfe dir von vorne rein. Dann habe ich nicht die ganzen Ärger mit dir.
313680	315680	Andiamo!
317680	319680	Ich bin wieder Heidegger.
319680	323680	Und ich habe mir eine neue Idee ausgedacht.
323680	325680	Denn heute machen wir hier in Costa del Sol
325680	327680	eine wunderschöne Stadt.
327680	329680	Am Meer.
329680	331680	Die Sonne scheint. Es ist wolkenlos.
331680	335680	Perfektes Wetter für meine neue Idee, die ich sagen wollte.
335680	339680	Nämlich wir machen heute einen Strandwettbewerb.
339680	345680	Und wir haben fantastische Preise für unsere großartigen Kandidaten.
345680	349680	Es sind die Besten. Nur die Besten haben wir ausgewählt.
349680	351680	Die mitmachen hier bei unserer großen Show.
351680	353680	Es sind so gute Kandidaten.
353680	355680	Es sind nur zwei Teams.
355680	357680	Aber das macht nichts.
357680	359680	Es sind schließlich die Besten.
359680	361680	Nur die Besten können gewinnen.
361680	363680	Wir machen doch mit!
363680	365680	Hallo!
365680	367680	Heidegger!
367680	369680	Wir sind hier hinten!
369680	371680	Hallo!
371680	373680	Heidegger!
373680	375680	Hallo!
375680	377680	Wir wollen mitmachen.
377680	379680	Wir mögen Strandwettbewerb.
379680	381680	Wir mögen Strandwettbewerbe!
381680	383680	Ja!
383680	385680	Wir machen mit. Wir können Zirkus gewinnen.
385680	387680	Hallo!
387680	389680	Wir müssen uns mitmachen!
389680	391680	Oh, wen haben wir denn da?
391680	393680	Da sind noch Ein paar Mitwettbewerber.
393680	395680	Aber ich weiß nicht.
395680	397680	Sind sie die Besten?
397680	399680	Können sie die Besten sein?
399680	401680	Hallo!
401680	403680	Oh, DJ Don und MC Sid.
403680	405680	Ja! Ich glaube!
405680	407680	Nein.
407680	410680	Hallo! The Fantasy is with you!
410680	412680	And the Chocobo too!
412680	415680	Wir haben das eigentlich hinter uns gelassen, aber es ist jetzt egal.
415680	418680	Also es ist schon lang her, da war mal was, ne?
418680	419680	Hä?
419680	423680	Naja, ja, ich sehe es Ihnen an.
423680	429680	Sie haben das Zeug dazu, ich kenne Sie zwar nicht, aber Sie könnten die Besten sein.
429680	430680	Die Besten!
430680	431680	Wir könnten die Besten sein!
431680	433680	Wir könnten die Besten sein, die sind die Besten!
433680	434680	Die sind die Besten!
434680	436680	Wir sind die Besten!
436680	438680	Wir sind die Besten!
438680	445680	Gut, dann stellt euch hier auf die Bühne und dann beginnen wir jetzt endlich mit dieser großartigen Strandwettbewerbsshow.
445680	447680	Hallo, ich bin DJ Don.
447680	449680	Hallo.
